"PickNumber","Round","Team","RawLabel","Player","Position","CanonicalPlayer","MatchMethod","MatchStatus","Rank","MatchReason"
16,2,"Flames","QB - Kyler Murray","Kyler Murray","QB","Kyler Murray","exact","ranked",60,"Exact name and position match."
17,3,"Flames","RB - Najee Harris","Najee Harris","RB","Najee Harris","exact","ranked",199,"Exact name and position match."
18,3,"Clint Bilton","WR - Ladd McConkey","Ladd McConkey","WR","Ladd McConkey","exact","ranked",54,"Exact name and position match."
19,3,"NKFL","RB - Kenneth Walker","Kenneth Walker","RB","Kenneth Walker III","alias","ranked",31,"Board omits the source's generational suffix III."
20,3,"Fauxgendaz","QB - Dak Prescott","Dak Prescott","QB","Dak Prescott","exact","ranked",26,"Exact name and position match."
21,3,"Purple Rain","QB - Jalen Hurts","Jalen Hurts","QB","Jalen Hurts","exact","ranked",11,"Exact name and position match."
22,3,"Rome Reigns","WR - Amon-Ra St. Brown","Amon-Ra St. Brown","WR","Amon-Ra St. Brown","exact","ranked",13,"Exact name and position match."
23,3,"Magic Skol Bus","WR - CeeDee Lamb","CeeDee Lamb","WR","CeeDee Lamb","exact","ranked",14,"Exact name and position match."
24,3,"Think Tank","WR - George Pickens","George Pickens","WR","George Pickens","exact","ranked",48,"Exact name and position match."
25,4,"Think Tank","WR - Tee Higgins","Tee Higgins","WR","Tee Higgins","exact","ranked",64,"Exact name and position match."
26,4,"Magic Skol Bus","WR - Drake London","Drake London","WR","Drake London","exact","ranked",20,"Exact name and position match."
27,4,"Rome Reigns","RB - Omarion Hampton","Omarion Hampton","RB","Omarion Hampton","exact","ranked",41,"Exact name and position match."
28,4,"Purple Rain","WR - A.J. Brown","A.J. Brown","WR","A.J. Brown","exact","ranked",35,"Exact name and position match."
29,4,"Fauxgendaz","WR - Terry McLaurin","Terry McLaurin","WR","Terry McLaurin","exact","ranked",55,"Exact name and position match."
30,4,"NKFL","TE - Colston Loveland","Colston Loveland","TE","Colston Loveland","exact","ranked",62,"Exact name and position match."
31,4,"Clint Bilton","RB - Derrick Henry","Derrick Henry","RB","Derrick Henry","exact","ranked",29,"Exact name and position match."
32,4,"Flames","WR - Nico Collins","Nico Collins","WR","Nico Collins","exact","ranked",24,"Exact name and position match."
33,5,"Flames","RB - Jaylen Wright","Jaylen Wright","RB","Jaylen Wright","exact","ranked",214,"Exact name and position match."
34,5,"Clint Bilton","QB - Joe Burrow","Joe Burrow","QB","Joe Burrow","exact","ranked",16,"Exact name and position match."
35,5,"NKFL","QB - Sam Darnold","Sam Darnold","QB","Sam Darnold","exact","ranked",107,"Exact name and position match."
36,5,"Fauxgendaz","RB - Chuba Hubbard","Chuba Hubbard","RB","Chuba Hubbard","exact","ranked",97,"Exact name and position match."
37,5,"Purple Rain","RB - Quinshon Judkins","Quinshon Judkins","RB","Quinshon Judkins","exact","ranked",56,"Exact name and position match."
38,5,"Rome Reigns","TE - Brock Bowers","Brock Bowers","TE","Brock Bowers","exact","ranked",32,"Exact name and position match."
39,5,"Magic Skol Bus","TE - Trey McBride","Trey McBride","TE","Trey McBride","exact","ranked",21,"Exact name and position match."
40,5,"Think Tank","RB - Kyren Williams","Kyren Williams","RB","Kyren Williams","exact","ranked",46,"Exact name and position match."
41,6,"Think Tank","RB - Chase Brown","Chase Brown","RB","Chase Brown","exact","ranked",40,"Exact name and position match."
42,6,"Magic Skol Bus","RB - Ashton Jeanty","Ashton Jeanty","RB","Ashton Jeanty","exact","ranked",30,"Exact name and position match."
43,6,"Rome Reigns","QB - Caleb Williams","Caleb Williams","QB","Caleb Williams","exact","ranked",38,"Exact name and position match."
44,6,"Purple Rain","WR - Tetairoa McMillan","Tetairoa McMillan","WR","Tetairoa McMillan","exact","ranked",50,"Exact name and position match."
45,6,"Fauxgendaz","RB - Cam Skattebo","Cam Skattebo","RB","Cam Skattebo","exact","ranked",57,"Exact name and position match."
46,6,"NKFL","WR - Emeka Egbuka","Emeka Egbuka","WR","Emeka Egbuka","exact","ranked",52,"Exact name and position match."
47,6,"Clint Bilton","QB - Trevor Lawrence","Trevor Lawrence","QB","Trevor Lawrence","exact","ranked",25,"Exact name and position match."
48,6,"Flames","WR - DK Metcalf","DK Metcalf","WR","DK Metcalf","exact","ranked",85,"Exact name and position match."
49,7,"Flames","RB - Breece Hall","Breece Hall","RB","Breece Hall","exact","ranked",42,"Exact name and position match."
50,7,"Clint Bilton","TE - Tucker Kraft","Tucker Kraft","TE","Tucker Kraft","exact","ranked",102,"Exact name and position match."
51,7,"NKFL","WR - Rome Odunze","Rome Odunze","WR","Rome Odunze","exact","ranked",66,"Exact name and position match."
52,7,"Fauxgendaz","QB - Bo Nix","Bo Nix","QB","Bo Nix","exact","ranked",27,"Exact name and position match."
53,7,"Purple Rain","RB - Bucky Irving","Bucky Irving","RB","Bucky Irving","exact","ranked",58,"Exact name and position match."
54,7,"Rome Reigns","WR - Malik Nabers","Malik Nabers","WR","Malik Nabers","exact","ranked",37,"Exact name and position match."
55,7,"Magic Skol Bus","WR - Rashee Rice","Rashee Rice","WR","Rashee Rice","exact","ranked",23,"Exact name and position match."
56,7,"Think Tank","QB - Brock Purdy","Brock Purdy","QB","Brock Purdy","exact","ranked",33,"Exact name and position match."
57,8,"Think Tank","WR - DJ Moore","DJ Moore","WR","DJ Moore","exact","ranked",68,"Exact name and position match."
58,8,"Magic Skol Bus","QB - Jaxson Dart","Jaxson Dart","QB","Jaxson Dart","exact","ranked",17,"Exact name and position match."
59,8,"Rome Reigns","WR - Chris Olave","Chris Olave","WR","Chris Olave","exact","ranked",36,"Exact name and position match."
60,8,"Purple Rain","RB - Tony Pollard","Tony Pollard","RB","Tony Pollard","exact","ranked",95,"Exact name and position match."
61,8,"Fauxgendaz","TE - Sam LaPorta","Sam LaPorta","TE","Sam LaPorta","exact","ranked",76,"Exact name and position match."
62,8,"NKFL","WR - DeVonta Smith","DeVonta Smith","WR","DeVonta Smith","exact","ranked",51,"Exact name and position match."
63,8,"Clint Bilton","WR - Zay Flowers","Zay Flowers","WR","Zay Flowers","exact","ranked",49,"Exact name and position match."
64,8,"Flames","TE - Travis Kelce","Travis Kelce","TE","Travis Kelce","exact","ranked",113,"Exact name and position match."
65,9,"Flames","QB - Tyler Shough","Tyler Shough","QB","Tyler Shough","exact","ranked",61,"Exact name and position match."
66,9,"Clint Bilton","QB - C.J. Stroud","C.J. Stroud","QB","C.J. Stroud","exact","ranked",106,"Exact name and position match."
67,9,"NKFL","WR - Mike Evans","Mike Evans","WR","Mike Evans","exact","ranked",92,"Exact name and position match."
68,9,"Fauxgendaz","WR - Deebo Samuel","Deebo Samuel","WR","Deebo Samuel Sr.","alias","ranked",140,"Board omits the source's suffix Sr."
69,9,"Purple Rain","WR - Marvin Harrison","Marvin Harrison","WR","Marvin Harrison Jr.","alias","ranked",84,"Board omits the source's suffix Jr."
70,9,"Rome Reigns","RB - Jeremiyah Love","Jeremiyah Love","RB","Jeremiyah Love","exact","ranked",22,"Exact name and position match."
71,9,"Magic Skol Bus","RB - D'Andre Swift","D'Andre Swift","RB","D'Andre Swift","exact","ranked",59,"Exact name and position match."
72,9,"Think Tank","TE - Tyler Warren","Tyler Warren","TE","Tyler Warren","exact","ranked",63,"Exact name and position match."
73,10,"Think Tank","QB - Matthew Stafford","Matthew Stafford","QB","Matthew Stafford","exact","ranked",34,"Exact name and position match."
74,10,"Magic Skol Bus","RB - Isiah Pacheco","Isiah Pacheco","RB","Isiah Pacheco","exact","ranked",222,"Exact name and position match."
75,10,"Rome Reigns","WR - Luther Burden","Luther Burden","WR","Luther Burden III","alias","ranked",69,"Board omits the source's generational suffix III."
76,10,"Purple Rain","QB - Justin Herbert","Justin Herbert","QB","Justin Herbert","exact","ranked",39,"Exact name and position match."
77,10,"Fauxgendaz","WR - Odell Beckham Jr.","Odell Beckham Jr.","WR","Odell Beckham Jr.","allowlist","unranked",,"User-confirmed Fauxgendaz round-10 selection; absent from this source Top 300."
78,10,"NKFL","RB - David Montgomery","David Montgomery","RB","David Montgomery","exact","ranked",71,"Exact name and position match."
79,10,"Clint Bilton","RB - TreVeyon Henderson","TreVeyon Henderson","RB","TreVeyon Henderson","exact","ranked",90,"Exact name and position match."
80,10,"Flames","WR - Cooper Kupp","Cooper Kupp","WR","Cooper Kupp","exact","ranked",241,"Exact name and position match."
81,11,"Flames","WR - Davante Adams","Davante Adams","WR","Davante Adams","exact","ranked",53,"Exact name and position match."
82,11,"Clint Bilton","WR - Travis Hunter","Travis Hunter","WR","Travis Hunter","exact","ranked",156,"Exact name and position match."
83,11,"NKFL","RB - Aaron Jones","Aaron Jones","RB","Aaron Jones Sr.","alias","ranked",127,"Board omits the source's suffix Sr."
84,11,"Fauxgendaz","RB - Trevor Etienne","Trevor Etienne","RB","Trevor Etienne","allowlist","unranked",,"Trevor Etienne is the supplied player and is absent from this source Top 300; Travis Etienne Jr. is a different player."
85,11,"Purple Rain","RB - Javonte Williams","Javonte Williams","RB","Javonte Williams","exact","ranked",43,"Exact name and position match."
86,11,"Rome Reigns","RB - Jadarian Price","Jadarian Price","RB","Jadarian Price","exact","ranked",72,"Exact name and position match."
87,11,"Magic Skol Bus","RB - Josh Jacobs","Josh Jacobs","RB","Josh Jacobs","exact","ranked",123,"Exact name and position match."
88,11,"Think Tank","QB - Patrick Mahomes","Patrick Mahomes","QB","Patrick Mahomes","exact","ranked",44,"Exact name and position match."
89,12,"Think Tank","WR - Garrett Wilson","Garrett Wilson","WR","Garrett Wilson","exact","ranked",47,"Exact name and position match."
90,12,"Magic Skol Bus","TE - T.J. Hockenson","T.J. Hockenson","TE","T.J. Hockenson","exact","ranked",129,"Exact name and position match."
91,12,"Rome Reigns","QB - Baker Mayfield","Baker Mayfield","QB","Baker Mayfield","exact","ranked",81,"Exact name and position match."
92,12,"Purple Rain","WR - Courtland Sutton","Courtland Sutton","WR","Courtland Sutton","exact","ranked",82,"Exact name and position match."
93,12,"Fauxgendaz","WR - Makai Lemon","Makai Lemon","WR","Makai Lemon","exact","ranked",138,"Exact name and position match."
94,12,"NKFL","RB - Zach Charbonnet","Zach Charbonnet","RB","Zach Charbonnet","exact","ranked",146,"Exact name and position match."
95,12,"Clint Bilton","WR - Jordan Addison","Jordan Addison","WR","Jordan Addison","exact","ranked",108,"Exact name and position match."
96,12,"Flames","QB - Jared Goff","Jared Goff","QB","Jared Goff","exact","ranked",79,"Exact name and position match."
97,13,"Flames","WR - De'Zhaun Stribling","De'Zhaun Stribling","WR","De'Zhaun Stribling","exact","ranked",109,"Exact name and position match."
98,13,"Clint Bilton","TE - Mark Andrews","Mark Andrews","TE","Mark Andrews","exact","ranked",115,"Exact name and position match."
99,13,"NKFL","TE - AJ Barner","AJ Barner","TE","AJ Barner","exact","ranked",263,"Exact name and position match."
100,13,"Fauxgendaz","RB - Tank Bigsby","Tank Bigsby","RB","Tank Bigsby","exact","ranked",195,"Exact name and position match."
101,13,"Purple Rain","RB - Bhayshul Tuten","Bhayshul Tuten","RB","Bhayshul Tuten","exact","ranked",70,"Exact name and position match."
102,13,"Rome Reigns","TE - Kyle Pitts","Kyle Pitts","TE","Kyle Pitts Sr.","alias","ranked",74,"Board omits the source's suffix Sr."
103,13,"Magic Skol Bus","RB - Kyle Monangai","Kyle Monangai","RB","Kyle Monangai","exact","ranked",125,"Exact name and position match."
104,13,"Think Tank","RB - Kenneth Gainwell","Kenneth Gainwell","RB","Kenny Gainwell","alias","ranked",96,"Board uses Kenneth; source uses the established nickname Kenny for Gainwell."
105,14,"Think Tank","WR - Chris Godwin","Chris Godwin","WR","Chris Godwin Jr.","alias","ranked",139,"Board omits the source's suffix Jr."
106,14,"Magic Skol Bus","WR - Jakobi Meyers","Jakobi Meyers","WR","Jakobi Meyers","exact","ranked",100,"Exact name and position match."
107,14,"Rome Reigns","WR - Brian Thomas","Brian Thomas","WR","Brian Thomas Jr.","alias","ranked",94,"Board omits the source's suffix Jr."
108,14,"Purple Rain","TE - Harold Fannin","Harold Fannin","TE","Harold Fannin Jr.","alias","ranked",75,"Board omits the source's suffix Jr."
109,14,"Fauxgendaz","TE - David Njoku","David Njoku","TE","David Njoku","exact","ranked",299,"Exact name and position match."
110,14,"NKFL","WR - Quentin Johnston","Quentin Johnston","WR","Quentin Johnston","exact","ranked",121,"Exact name and position match."
111,14,"Clint Bilton","WR - Matthew Golden","Matthew Golden","WR","Matthew Golden","exact","ranked",93,"Exact name and position match."
112,14,"Flames","WR - Dontayvion Wicks","Dontayvion Wicks","WR","Dontayvion Wicks","exact","ranked",203,"Exact name and position match."
113,15,"Flames","K - Harrison Butker","Harrison Butker","K","Harrison Butker","exact","ranked",187,"Exact name and position match."
114,15,"Clint Bilton","DEF - Houston Texans","Houston Texans","DST","Texans D/ST","alias","ranked",169,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
115,15,"NKFL","DEF - Baltimore Ravens","Baltimore Ravens","DST","Ravens D/ST","alias","ranked",174,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
116,15,"Fauxgendaz","DEF - Denver Broncos","Denver Broncos","DST","Broncos D/ST","alias","ranked",170,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
117,15,"Purple Rain","DEF - Seattle Seahawks","Seattle Seahawks","DST","Seahawks D/ST","alias","ranked",172,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
118,15,"Rome Reigns","DEF - Minnesota Vikings","Minnesota Vikings","DST","Vikings D/ST","alias","unranked",,"Full franchise label maps to a defensive-unit label; this unit is absent from the source Top 300. Minnesota defensive unit is absent from this source Top 300."
119,15,"Magic Skol Bus","K - Evan McPherson","Evan McPherson","K","Evan McPherson","exact","ranked",269,"Exact name and position match."
120,15,"Think Tank","DEF - New England Patriots","New England Patriots","DST","Patriots D/ST","alias","ranked",177,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
121,16,"Think Tank","K - Ka'imi Fairbairn","Ka'imi Fairbairn","K","Ka'imi Fairbairn","exact","ranked",185,"Exact name and position match."
122,16,"Magic Skol Bus","DEF - Pittsburgh Steelers","Pittsburgh Steelers","DST","Steelers D/ST","alias","ranked",171,"Full franchise label maps to the source's defensive-unit label; DEF is normalized to DST."
123,16,"Rome Reigns","K - Brandon Aubrey","Brandon Aubrey","K","Brandon Aubrey","exact","ranked",181,"Exact name and position match."
124,16,"Purple Rain","K - Cameron Dicker","Cameron Dicker","K","Cameron Dicker","exact","ranked",182,"Exact name and position match."
125,16,"Fauxgendaz","K - Tyler Bass","Tyler Bass","K","Tyler Bass","allowlist","unranked",,"Supplied kicker is absent from this source Top 300."
126,16,"NKFL","K - Trey Smack","Trey Smack","K","Trey Smack","exact","ranked",296,"Exact name and position match."
127,16,"Clint Bilton","K - Will Reichard","Will Reichard","K","Will Reichard","exact","ranked",192,"Exact name and position match."
128,16,"Flames","DEF - Chicago Bears","Chicago Bears","DST","Bears D/ST","alias","unranked",,"Full franchise label maps to a defensive-unit label; this unit is absent from the source Top 300. Chicago defensive unit is absent from this source Top 300."
