"Rank","CanonicalPlayer","Position","PositionRank","NFLTeam","SalaryValue","Bye"
109,"De'Zhaun Stribling","WR",43,"SF",2,8
110,"Khalil Shakir","WR",44,"BUF",2,7
111,"Jayden Reed","WR",45,"GB",2,11
112,"Dallas Goedert","TE",10,"PHI",2,10
113,"Travis Kelce","TE",11,"KC",2,5
114,"Jake Ferguson","TE",12,"DAL",2,14
115,"Mark Andrews","TE",13,"BAL",2,13
116,"Isaiah Likely","TE",14,"NYG",2,8
117,"Bryce Young","QB",25,"CAR",2,5
118,"Cam Ward","QB",26,"TEN",2,9
119,"Jacoby Brissett","QB",27,"ARI",2,14
120,"Xavier Worthy","WR",46,"KC",2,5
121,"Quentin Johnston","WR",47,"LAC",1,7
122,"Stefon Diggs","WR",48,"WAS",1,7
123,"Josh Jacobs","RB",34,"GB",1,11
124,"MarShawn Lloyd","RB",35,"GB",1,11
125,"Kyle Monangai","RB",36,"CHI",1,10
126,"Jacory Croskey-Merritt","RB",37,"WAS",1,7
127,"Aaron Jones Sr.","RB",38,"MIN",1,6
128,"Dalton Kincaid","TE",15,"BUF",1,7
129,"T.J. Hockenson","TE",16,"MIN",1,6
130,"Hunter Henry","TE",17,"NE",1,11
131,"Terrance Ferguson","TE",18,"LAR",1,11
132,"Rachaad White","RB",39,"WAS",1,7
133,"Jordan Mason","RB",40,"MIN",1,6
134,"Blake Corum","RB",41,"LAR",1,11
135,"RJ Harvey","RB",42,"DEN",1,10
136,"Josh Downs","WR",49,"IND",1,13
137,"KC Concepcion","WR",50,"CLE",1,11
138,"Makai Lemon","WR",51,"PHI",1,10
139,"Chris Godwin Jr.","WR",52,"TB",1,10
140,"Deebo Samuel Sr.","WR",53,"SF",1,8
141,"Romeo Doubs","WR",54,"NE",1,11
142,"Jalen Coker","WR",55,"CAR",1,5
143,"Rashid Shaheed","WR",56,"SEA",1,11
144,"Jalen McMillan","WR",57,"TB",1,10
145,"Woody Marks","RB",43,"HOU",1,8
146,"Zach Charbonnet","RB",44,"SEA",1,11
147,"Tyjae Spears","RB",45,"TEN",1,9
148,"Chris Rodriguez Jr.","RB",46,"JAC",1,7
149,"Geno Smith","QB",28,"NYJ",1,13
150,"Mike Washington Jr.","RB",47,"LV",1,13
151,"Brian Robinson Jr.","RB",48,"ATL",1,11
152,"Denzel Boston","WR",58,"CLE",1,11
153,"Jerry Jeudy","WR",59,"CLE",1,11
154,"Calvin Ridley","WR",60,"TEN",1,9
155,"Adonai Mitchell","WR",61,"NYJ",1,13
156,"Travis Hunter","WR",62,"JAC",1,7
157,"Caleb Douglas","WR",63,"MIA",1,6
158,"Jordyn Tyson","WR",64,"NO",1,8
159,"Tre Tucker","WR",65,"LV",1,13
160,"Jalen Nailor","WR",66,"LV",1,13
161,"Tyler Allgeier","RB",49,"ARI",0,14
162,"Keaton Mitchell","RB",50,"LAC",0,7
163,"Jonah Coleman","RB",51,"DEN",0,10
164,"Kenyon Sadiq","TE",19,"NYJ",0,13
165,"Fernando Mendoza","QB",29,"LV",0,13
166,"Aaron Rodgers","QB",30,"PIT",0,9
167,"Deshaun Watson","QB",31,"CLE",0,11
168,"Tua Tagovailoa","QB",32,"ATL",0,11
169,"Texans D/ST","DST",1,"HOU",0,8
170,"Broncos D/ST","DST",2,"DEN",0,10
171,"Steelers D/ST","DST",3,"PIT",0,9
172,"Seahawks D/ST","DST",4,"SEA",0,11
173,"Rams D/ST","DST",5,"LAR",0,11
174,"Ravens D/ST","DST",6,"BAL",0,13
175,"Eagles D/ST","DST",7,"PHI",0,10
176,"Browns D/ST","DST",8,"CLE",0,11
177,"Patriots D/ST","DST",9,"NE",0,11
178,"Lions D/ST","DST",10,"DET",0,6
179,"Chiefs D/ST","DST",11,"KC",0,5
180,"Chargers D/ST","DST",12,"LAC",0,7
181,"Brandon Aubrey","K",1,"DAL",0,14
182,"Cameron Dicker","K",2,"LAC",0,7
183,"Jason Myers","K",3,"SEA",0,11
184,"Harrison Mevis","K",4,"LAR",0,11
185,"Ka'imi Fairbairn","K",5,"HOU",0,8
186,"Eddy Pineiro","K",6,"SF",0,8
187,"Harrison Butker","K",7,"KC",0,5
188,"Cam Little","K",8,"JAC",0,7
189,"Jake Bates","K",9,"DET",0,6
190,"Tyler Loop","K",10,"BAL",0,13
191,"Cairo Santos","K",11,"CHI",0,10
192,"Will Reichard","K",12,"MIN",0,6
193,"Keenan Allen","WR",67,"IND",0,13
194,"Braelon Allen","RB",52,"NYJ",0,13
195,"Tank Bigsby","RB",53,"PHI",0,10
196,"Ray Davis","RB",54,"BUF",0,7
197,"Dylan Sampson","RB",55,"CLE",0,11
198,"Rashod Bateman","WR",68,"BAL",0,13
199,"Najee Harris","RB",56,"NYG",0,8
200,"Alvin Kamara","RB",57,"NO",0,8
201,"Justice Hill","RB",58,"BAL",0,13
202,"Kaelon Black","RB",59,"SF",0,8
203,"Dontayvion Wicks","WR",69,"PHI",0,10
204,"Devaughn Vele","WR",70,"NO",0,8
205,"Jaylin Noel","WR",71,"HOU",0,8
206,"Shedeur Sanders","QB",33,"CLE",0,11
207,"Kirk Cousins","QB",34,"LV",0,13
208,"Michael Penix Jr.","QB",35,"ATL",0,11
209,"J.J. McCarthy","QB",36,"MIN",0,6
210,"Ja'Kobi Lane","WR",72,"BAL",0,13
211,"Jauan Jennings","WR",73,"MIN",0,6
212,"Malachi Fields","WR",74,"NYG",0,8
213,"Kimani Vidal","RB",60,"LAC",0,7
214,"Jaylen Wright","RB",61,"MIA",0,6
215,"Ollie Gordon II","RB",62,"MIA",0,6
216,"Samaje Perine","RB",63,"CIN",0,6
217,"Ty Johnson","RB",64,"BUF",0,7
218,"Chris Brooks","RB",65,"GB",0,11
219,"Brashard Smith","RB",66,"KC",0,5
220,"Malik Davis","RB",67,"DAL",0,14
221,"Emmett Johnson","RB",68,"KC",0,5
222,"Isiah Pacheco","RB",69,"DET",0,6
223,"Isaiah Davis","RB",70,"NYJ",0,13
224,"Jacob Saylors","RB",71,"DET",0,6
225,"Juwan Johnson","TE",20,"NO",0,8
226,"Brenton Strange","TE",21,"JAC",0,7
227,"Germie Bernard","WR",75,"PIT",0,9
228,"Tre Harris","WR",76,"LAC",0,7
229,"Carson Beck","QB",37,"ARI",0,14
230,"Justin Fields","QB",38,"KC",0,5
231,"Ryan Flournoy","WR",77,"DAL",0,14
232,"Zachariah Branch","WR",78,"ATL",0,11
233,"Omar Cooper Jr.","WR",79,"NYJ",0,13
234,"Kayshon Boutte","WR",80,"HOU",0,8
235,"Pat Freiermuth","TE",22,"PIT",0,9
236,"Buccaneers D/ST","DST",13,"TB",0,10
237,"Packers D/ST","DST",14,"GB",0,11
238,"Chris Boswell","K",13,"PIT",0,9
239,"Chase McLaughlin","K",14,"TB",0,10
240,"Malik Washington","WR",81,"MIA",0,6
241,"Cooper Kupp","WR",82,"SEA",0,11
242,"Xavier Legette","WR",83,"CAR",0,5
243,"Jahan Dotson","WR",84,"ATL",0,11
244,"Xavier Hutchinson","WR",85,"HOU",0,8
245,"Jalen Tolbert","WR",86,"MIA",0,6
246,"Chris Bell","WR",87,"MIA",0,6
247,"DeMario Douglas","WR",88,"NE",0,11
248,"Darius Slayton","WR",89,"NYG",0,8
249,"Antonio Williams","WR",90,"WAS",0,7
250,"LeQuint Allen","RB",72,"JAC",0,7
251,"George Holani","RB",73,"SEA",0,11
252,"Tyrone Tracy Jr.","RB",74,"NYG",0,8
253,"Sean Tucker","RB",75,"TB",0,10
254,"Seth McGowan","RB",76,"IND",0,13
255,"Jordan James","RB",77,"SF",0,8
256,"Will Shipley","RB",78,"PHI",0,10
257,"Emanuel Wilson","RB",79,"SEA",0,11
258,"Dalton Schultz","TE",23,"HOU",0,8
259,"Gunnar Helm","TE",24,"TEN",0,9
260,"Chig Okonkwo","TE",25,"WAS",0,7
261,"Joe Flacco","QB",39,"CIN",0,6
262,"Mac Jones","QB",40,"SF",0,8
263,"AJ Barner","TE",26,"SEA",0,11
264,"Emari Demercado","RB",80,"DAL",0,14
265,"Tyquan Thornton","WR",91,"KC",0,5
266,"Keon Coleman","WR",92,"BUF",0,7
267,"Jaguars D/ST","DST",15,"JAC",0,7
268,"Saints D/ST","DST",16,"NO",0,8
269,"Evan McPherson","K",15,"CIN",0,6
270,"Nick Folk","K",16,"ATL",0,11
271,"Greg Dulcich","TE",27,"MIA",0,6
272,"Darren Waller","TE",28,"CAR",0,5
273,"Cade Otton","TE",29,"TB",0,10
274,"Isaac TeSlaa","WR",93,"DET",0,6
275,"Pat Bryant","WR",94,"DEN",0,10
276,"Marvin Mims Jr.","WR",95,"DEN",0,10
277,"Andrei Iosivas","WR",96,"CIN",0,6
278,"Kaleb Johnson","RB",81,"GB",0,11
279,"Nicholas Singleton","RB",82,"TEN",0,9
280,"Kevin Coleman Jr.","WR",97,"MIA",0,6
281,"KaVontae Turpin","WR",98,"DAL",0,14
282,"Tank Dell","WR",99,"HOU",0,8
283,"Jack Bech","WR",100,"LV",0,13
284,"Tory Horton","WR",101,"SEA",0,11
285,"Kendre Miller","RB",83,"NO",0,8
286,"Tahj Brooks","RB",84,"CIN",0,6
287,"Demond Claiborne","RB",85,"MIN",0,6
288,"Rasheen Ali","RB",86,"BAL",0,13
289,"Kaytron Allen","RB",87,"WAS",0,7
290,"DJ Giddens","RB",88,"IND",0,13
291,"Sione Vaki","RB",89,"DET",0,6
292,"Kene Nwangwu","RB",90,"NYJ",0,13
293,"Ted Hurst","WR",102,"TB",0,10
294,"Jets D/ST","DST",17,"NYJ",0,13
295,"49ers D/ST","DST",18,"SF",0,8
296,"Trey Smack","K",17,"GB",0,11
297,"Spencer Shrader","K",18,"IND",0,13
298,"Evan Engram","TE",30,"DEN",0,10
299,"David Njoku","TE",31,"LAC",0,7
300,"Oronde Gadsden","TE",32,"LAC",0,7
